Letter,Name,URL,Category
Free,Rood Food & Pie,https://www.rfpie.com/,Lakewood
B,Li Wah,https://liwahrestaurant.com/,Dim Sum
B,Cleveland Asian Festival,https://clevelandasianfestival.org/2023/2022/12/15/the-2023-cleveland-asian-festival/
B,Superior Pho,https://superiorpho.com/,Pho
B,Tommy's in Conventry,https://tommyscoventry.com/,Coventry
B,Lucky's Cafe,https://www.luckyscafe.com/
B,Inn on Coventry,https://www.google.com/maps/uv?pb=!1s0x8830fc41eaef6203%3A0xc2b9d85aadfe2729!15sCgIY[…]ate=lb&sa=X&ved=2ahUKEwj48ZPNsI38AhU9l2oFHQhSDc4QzeMEegQIDRAA,Coventry
B,Lakeview Cemetery,https://www.lakeviewcemetery.com/
B,Chagrin Falls (Jenni's ice cream),https://chagrin-falls-ohio.com/food-dining-chagrin-falls-ohio/,Chagrin Falls
I,The Harp,https://www.google.com/maps/uv?pb=!1s0x8830f043dd27f559%3A0x13902df77a510066!3m1!7e1[…]=en&sa=X&ved=2ahUKEwjk9Jn1sI38AhUNk2oFHW_zDBkQ7ZgBKAB6BAgdEAI,Edgewater
I,Pier W,https://pierw.com/,Lakewood
I,Lakewood Truck Park,TODO,Lakewood
I,Solstice Steps,TODO,Lakewood
I,European Imports,TODO,Lakewood
I,Red Line Greenway (Bike or walk),TODO,Outdoors
N,41 North (Kayak or Paddleboard),TODO,Outdoors
N,RTA Rapid to Downtown,TODO,Downtown
N,Soldiers and Sailors Monument,https://www.soldiersandsailors.com/,Downtown
N,Cleveland Monsters Hockey,TODO,Downtown
N,Cleveland Guardians Baseball,TODO,Downtown
N,Cleveland Cavaliers Basketball,TODO,Downtown
E,Cleveland Art Museum,TODO,Wade Oval
E,Cleveland Natural History Museum,TODO,Wade Oval
E,Cleveland Botanical Gardens,TODO,Wade Oval
E,Trattoria,https://www.trattoriaromangarden.com/,Little Italy
E,Guarinos,https://guarinoscleveland.com/,Little Italy
E,Presti's,https://prestisbakery.com/,Little Italy
E,Shaker Square,https://www.shakersquare.net/,Shaker Heights
O,Harpersfield,https://www.harpersfield.com/,Lake/Ashtabula County Wineries
O,M Cellars,https://www.mcellars.com/,Lake/Ashtabula County Wineries
O,Burton (Pancake Town USA breakfasts start March 6),https://pancaketown-usa.com/,Podunk
O,Hale Farm and Village (part of Western Reserve historical society),https://www.wrhs.org/plan-your-visit/hale-farm/,Podunk
